"","Item","Proportion_No_Sui","Proportion_Sui"
"1","V1",0.9199,0.0384
"11","V2",0.91855,0.1213
"12","V3",0.96955,0.03465
"13","V4",0.77905,0.17115
"14","V5",0.94485,0.0616
"15","V6",0.8694,0.07205
"16","V7",0.7483,0.03905
"17","V8",0.9829,0.0707
"18","V9",0.8462,0.2989
"19","V10",0.99495,0.5522
"110","V11",0.9874,0.02195
"111","V12",0.94595,0.3933
"112","V13",0.95245,0.2082
"113","V14",0.9605,0.22865
"114","V15",0.99235,0.40015
"115","V16",0.96855,0.29675
"116","V17",0.9922,0.2862
"117","V18",0.985,0.2797
"118","V19",0.9758,0.52705
"119","V20",0.9765,0.53015
"120","V21",0.00705,0.2704
