"","thresholds_resst_no_sui_sim"
"R1",-3.14795431389472
"R2",-2.11478593979315
"R3",-0.183391313670676
"R4",-0.357786751690992
"R5",-3.23335684959321
"R6",-4.07216539382544
"R7",-1.79008250619404
"R8",-0.725653065265633
"R9",-1.17459868602424
"R10",1.65982725736362
"R11",-2.99025265364262
"R12",-1.51528649337137
"R13",-1.91700726273445
"R14",-3.07471227269919
"R15",-0.867442747185077
"R16",-2.17449858053986
"R17",-0.864044138938967
"R18",0.860715669215572
"R19",0.966853543132352
"R20",-0.098229863659918
"R21",-1.6880741604056
